PO_ID,list_of_reasons
PO1070,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1071,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1072,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1073,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1074,Missing GRN
PO1075,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1076,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1077,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1078,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1079,Missing GRN
PO1080,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1081,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1082,Missing GRN
PO1083,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1084,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1085,Missing GRN
PO1086,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1087,Missing GRN
PO1088,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1089,Missing GRN
PO1090,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1091,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1092,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1093,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1094,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1095,Missing GRN
PO1096,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1097,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1098,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1099,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1100,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1101,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1102,Missing GRN
PO1103,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1104,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1105,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1106,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1107,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1108,Missing GRN
PO1109,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1110,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1111,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1112,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1113,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1114,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1115,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1116,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1117,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1118,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1119,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1120,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1121,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1122,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1123,Missing GRN
PO1124,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1125,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1126,Missing GRN
PO1127,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1128,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1129,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1130,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1131,Missing GRN
PO1132,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1133,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1134,Missing GRN
PO1135,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1136,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1137,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1138,Missing GRN
PO1139,Missing GRN
PO1140,Missing GRN
PO1141,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1142,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1143,Missing GRN
PO1144,Missing GRN
PO1145,Missing GRN
PO1146,Missing GRN
PO1147,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1148,Missing GRN
PO1149,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1150,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1151,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1152,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1153,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1154,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1155,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1156,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1157,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1158,Missing GRN
PO1159,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1160,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1161,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1162,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1163,Missing GRN
PO1164,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1165,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1166,Missing GRN
PO1167,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1168,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1169,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1170,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1171,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1172,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1173,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1174,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1175,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1176,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1177,Missing GRN
PO1178,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1179,Missing GRN
PO1180,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1181,Missing GRN
PO1182,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1183,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1184,Missing GRN
PO1185,Missing GRN
PO1186,Missing GRN
PO1187,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1188,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1189,Missing GRN
PO1190,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1191,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1192,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1193,Missing GRN
PO1194,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1195,Missing GRN
PO1196,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1197,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1198,Missing GRN
PO1199,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1200,Missing GRN
PO1201,Missing GRN
PO1202,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1203,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1204,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1205,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1206,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1207,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1208,Missing GRN
PO1209,Missing GRN
PO1210,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1211,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1212,Missing GRN
PO1213,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1214,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1215,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1216,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1217,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1218,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1219,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1220,Missing GRN
PO1221,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1222,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1223,Missing GRN
PO1224,Missing GRN
PO1225,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1226,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1227,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1228,Missing GRN
PO1229,Missing GRN
PO1230,Missing GRN
PO1231,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1232,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1233,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1234,Missing GRN
PO1235,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1236,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1237,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1238,Missing GRN
PO1239,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1240,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1241,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1242,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1243,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1244,Missing GRN
PO1245,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1246,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1247,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1248,Missing GRN
PO1249,Missing GRN
PO1250,Missing GRN
PO1251,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1252,Missing GRN
PO1253,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1254,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1255,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1256,Missing GRN
PO1257,Missing GRN
PO1258,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1259,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1260,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1261,Missing GRN
PO1262,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1263,Missing GRN
PO1264,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1265,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1266,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1267,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1268,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1269,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1270,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1271,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1272,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1273,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1274,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1275,Missing GRN
PO1276,Missing GRN
PO1277,Missing GRN
PO1278,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1279,Missing GRN
PO1280,Missing GRN
PO1281,Missing GRN
PO1282,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1283,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1284,Missing GRN
PO1285,Missing GRN
PO1286,Missing GRN
PO1287,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1288,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1289,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1290,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1291,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1292,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1293,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1294,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1295,Missing GRN
PO1296,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1297,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1298,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1299,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1300,Missing GRN
PO1301,Missing GRN
PO1302,Missing GRN
PO1303,Missing GRN
PO1304,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1305,Missing GRN
PO1306,Missing GRN
PO1307,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1308,Missing GRN
PO1309,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1310,Missing GRN
PO1311,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1312,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1313,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1314,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1315,Missing GRN
PO1316,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1317,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1318,Missing GRN
PO1319,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1320,Missing GRN
PO1321,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1322,Missing GRN
PO1323,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1324,Missing GRN
PO1325,Missing GRN
PO1326,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1327,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1328,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1329,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1330,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1331,Missing GRN
PO1332,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1333,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1334,Missing GRN
PO1335,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1336,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1337,Missing GRN
PO1338,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1339,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1340,Missing GRN
PO1341,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1342,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1343,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1344,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1345,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1346,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1347,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1348,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1349,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1350,Missing GRN
PO1351,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1352,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1353,Missing GRN
PO1354,"Late delivery, Over-delivery, Total price discrepancy"
PO1355,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1356,Missing GRN
PO1357,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1358,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1359,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1360,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1361,Missing GRN
PO1362,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1363,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1364,Missing GRN
PO1365,Missing GRN
PO1366,Missing GRN
PO1367,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1368,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1369,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1370,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1371,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1372,Missing GRN
PO1373,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1374,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1375,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1376,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1377,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1378,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1379,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1380,Missing GRN
PO1381,Missing GRN
PO1382,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1383,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1384,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1385,"Over-delivery, Total price discrepancy"
PO1386,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1387,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1388,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1389,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1390,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1391,Missing GRN
PO1392,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1393,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1394,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1395,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1396,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1397,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1398,Missing GRN
PO1399,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1400,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1401,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1402,Missing GRN
PO1403,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1404,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1405,Missing GRN
PO1406,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1407,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1408,Missing GRN
PO1409,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1410,Missing GRN
PO1411,Missing GRN
PO1412,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1413,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1414,Missing GRN
PO1415,Missing GRN
PO1416,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1417,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1418,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1419,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1420,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1421,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1422,Missing GRN
PO1423,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1424,Missing GRN
PO1425,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1426,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1427,Missing GRN
PO1428,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1429,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1430,Missing GRN
PO1431,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1432,Missing GRN
PO1433,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1434,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1435,Missing GRN
PO1436,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1437,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1438,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1439,Missing GRN
PO1440,Missing GRN
PO1441,Missing GRN
PO1442,Missing GRN
