PO_ID,reason,Comments
PO1067,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (389) exceeds ordered quantity (72).; ASN shipped quantity (421) does not match GRN received quantity (389).; Expected invoice amount (3920.40) does not match invoice amount (7878.04).; Earliest received date (2025-08-09) is after the PO delivery date (2025-07-23).
PO1068,Missing GRN,No GRN record found for this PO.
PO1069,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (285) exceeds ordered quantity (184).; ASN shipped quantity (246) does not match GRN received quantity (285).; Expected invoice amount (52333.28) does not match invoice amount (3451.11).; Earliest received date (2025-08-06) is after the PO delivery date (2025-07-01).
PO1070,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (124) is less than ordered quantity (188).; ASN shipped quantity (62) does not match GRN received quantity (124).; Expected invoice amount (65247.28) does not match invoice amount (4951.48).; Earliest received date (2025-08-11) is after the PO delivery date (2025-07-27).
PO1071,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (311) exceeds ordered quantity (89).; ASN shipped quantity (497) does not match GRN received quantity (311).; Expected invoice amount (31487.31) does not match invoice amount (1674.00).; Earliest received date (2025-07-29) is after the PO delivery date (2025-07-16).
PO1072,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (203) exceeds ordered quantity (183).; ASN shipped quantity (137) does not match GRN received quantity (203).; Expected invoice amount (44264.04) does not match invoice amount (2442.47).; Earliest received date (2025-07-29) is after the PO delivery date (2025-07-07).
PO1073,"Over-delivery, ASN/GRN mismatch, Total price discrepancy",Total received quantity (161) exceeds ordered quantity (55).; ASN shipped quantity (133) does not match GRN received quantity (161).; Expected invoice amount (17571.95) does not match invoice amount (5773.92).
PO1074,Missing GRN,No GRN record found for this PO.
PO1075,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (326) exceeds ordered quantity (189).; ASN shipped quantity (232) does not match GRN received quantity (326).; Expected invoice amount (42850.08) does not match invoice amount (4050.65).; Earliest received date (2025-08-01) is after the PO delivery date (2025-07-25).
PO1076,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (348) exceeds ordered quantity (199).; ASN shipped quantity (266) does not match GRN received quantity (348).; Expected invoice amount (74388.19) does not match invoice amount (1963.97).; Earliest received date (2025-07-28) is after the PO delivery date (2025-07-24).
PO1077,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (128) is less than ordered quantity (130).; ASN shipped quantity (59) does not match GRN received quantity (128).; Expected invoice amount (37585.60) does not match invoice amount (6225.10).; Earliest received date (2025-08-04) is after the PO delivery date (2025-07-29).
PO1078,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (456) exceeds ordered quantity (119).; ASN shipped quantity (279) does not match GRN received quantity (456).; Expected invoice amount (16900.38) does not match invoice amount (2313.18).; Earliest received date (2025-08-09) is after the PO delivery date (2025-07-22).
PO1079,Missing GRN,No GRN record found for this PO.
PO1080,"Over-delivery, ASN/GRN mismatch, Total price discrepancy",Total received quantity (464) exceeds ordered quantity (57).; ASN shipped quantity (574) does not match GRN received quantity (464).; Expected invoice amount (25490.40) does not match invoice amount (2607.65).
PO1081,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (131) exceeds ordered quantity (73).; ASN shipped quantity (196) does not match GRN received quantity (131).; Expected invoice amount (14277.34) does not match invoice amount (8805.03).; Earliest received date (2025-08-08) is after the PO delivery date (2025-07-07).
PO1082,Missing GRN,No GRN record found for this PO.
PO1083,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (111) exceeds ordered quantity (82).; ASN shipped quantity (84) does not match GRN received quantity (111).; Expected invoice amount (26125.20) does not match invoice amount (1037.90).; Earliest received date (2025-08-09) is after the PO delivery date (2025-07-16).
PO1084,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (194) exceeds ordered quantity (167).; ASN shipped quantity (90) does not match GRN received quantity (194).; Expected invoice amount (66392.52) does not match invoice amount (2422.52).; Earliest received date (2025-07-28) is after the PO delivery date (2025-07-05).
PO1085,Missing GRN,No GRN record found for this PO.
PO1086,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (95) exceeds ordered quantity (69).; ASN shipped quantity (82) does not match GRN received quantity (95).; Expected invoice amount (4311.12) does not match invoice amount (3528.81).; Earliest received date (2025-08-03) is after the PO delivery date (2025-06-25).
PO1087,Missing GRN,No GRN record found for this PO.
PO1088,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (144) exceeds ordered quantity (73).; ASN shipped quantity (52) does not match GRN received quantity (144).; Expected invoice amount (18382.13) does not match invoice amount (6440.52).; Earliest received date (2025-08-06) is after the PO delivery date (2025-07-19).
PO1089,Missing GRN,No GRN record found for this PO.
PO1090,"Over-delivery, ASN/GRN mismatch, Total price discrepancy",Total received quantity (295) exceeds ordered quantity (184).; ASN shipped quantity (358) does not match GRN received quantity (295).; Expected invoice amount (52182.40) does not match invoice amount (6149.77).
PO1091,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (43) is less than ordered quantity (83).; ASN shipped quantity (183) does not match GRN received quantity (43).; Expected invoice amount (23596.90) does not match invoice amount (4937.79).; Earliest received date (2025-07-28) is after the PO delivery date (2025-07-21).
PO1092,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (111) exceeds ordered quantity (95).; ASN shipped quantity (105) does not match GRN received quantity (111).; Expected invoice amount (11377.20) does not match invoice amount (3128.91).; Earliest received date (2025-08-16) is after the PO delivery date (2025-07-09).
PO1093,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (65) is less than ordered quantity (162).; ASN shipped quantity (46) does not match GRN received quantity (65).; Expected invoice amount (58948.56) does not match invoice amount (5255.28).; Earliest received date (2025-08-13) is after the PO delivery date (2025-06-21).
PO1094,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (213) exceeds ordered quantity (194).; ASN shipped quantity (112) does not match GRN received quantity (213).; Expected invoice amount (22587.42) does not match invoice amount (9950.74).; Earliest received date (2025-07-31) is after the PO delivery date (2025-06-06).
PO1095,Missing GRN,No GRN record found for this PO.
PO1096,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (147) exceeds ordered quantity (65).; ASN shipped quantity (181) does not match GRN received quantity (147).; Expected invoice amount (21565.05) does not match invoice amount (3981.81).; Earliest received date (2025-08-10) is after the PO delivery date (2025-08-07).
PO1097,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (125) exceeds ordered quantity (102).; ASN shipped quantity (128) does not match GRN received quantity (125).; Expected invoice amount (14853.24) does not match invoice amount (7865.15).; Earliest received date (2025-08-12) is after the PO delivery date (2025-07-06).
PO1098,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (76) is less than ordered quantity (156).; ASN shipped quantity (150) does not match GRN received quantity (76).; Expected invoice amount (47363.16) does not match invoice amount (2095.50).; Earliest received date (2025-08-15) is after the PO delivery date (2025-07-25).
PO1099,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (157) exceeds ordered quantity (66).; ASN shipped quantity (66) does not match GRN received quantity (157).; Expected invoice amount (16174.62) does not match invoice amount (2042.87).; Earliest received date (2025-08-08) is after the PO delivery date (2025-07-02).
PO1100,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (524) exceeds ordered quantity (139).; ASN shipped quantity (243) does not match GRN received quantity (524).; Expected invoice amount (24700.30) does not match invoice amount (6493.45).; Earliest received date (2025-08-03) is after the PO delivery date (2025-07-20).
PO1101,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (95) is less than ordered quantity (174).; ASN shipped quantity (59) does not match GRN received quantity (95).; Expected invoice amount (46343.16) does not match invoice amount (5285.67).; Earliest received date (2025-08-12) is after the PO delivery date (2025-07-18).
PO1102,Missing GRN,No GRN record found for this PO.
PO1103,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (111) is less than ordered quantity (169).; ASN shipped quantity (171) does not match GRN received quantity (111).; Expected invoice amount (57515.77) does not match invoice amount (1105.73).; Earliest received date (2025-08-07) is after the PO delivery date (2025-06-08).
PO1104,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (274) exceeds ordered quantity (189).; ASN shipped quantity (242) does not match GRN received quantity (274).; Expected invoice amount (23186.52) does not match invoice amount (7293.83).; Earliest received date (2025-07-31) is after the PO delivery date (2025-07-23).
PO1105,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (186) exceeds ordered quantity (159).; ASN shipped quantity (132) does not match GRN received quantity (186).; Expected invoice amount (46939.98) does not match invoice amount (1262.72).; Earliest received date (2025-08-14) is after the PO delivery date (2025-08-03).
PO1106,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (101) exceeds ordered quantity (99).; ASN shipped quantity (155) does not match GRN received quantity (101).; Expected invoice amount (18051.66) does not match invoice amount (2843.51).; Earliest received date (2025-08-05) is after the PO delivery date (2025-07-23).
PO1107,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (74) exceeds ordered quantity (67).; ASN shipped quantity (87) does not match GRN received quantity (74).; Expected invoice amount (15515.86) does not match invoice amount (5954.16).; Earliest received date (2025-08-14) is after the PO delivery date (2025-07-07).
PO1108,Missing GRN,No GRN record found for this PO.
PO1109,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (361) exceeds ordered quantity (142).; ASN shipped quantity (284) does not match GRN received quantity (361).; Expected invoice amount (25859.62) does not match invoice amount (1079.55).; Earliest received date (2025-07-30) is after the PO delivery date (2025-06-17).
PO1110,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (205) exceeds ordered quantity (178).; ASN shipped quantity (92) does not match GRN received quantity (205).; Expected invoice amount (74991.40) does not match invoice amount (8117.26).; Earliest received date (2025-08-15) is after the PO delivery date (2025-07-08).
PO1111,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (62) is less than ordered quantity (89).; ASN shipped quantity (89) does not match GRN received quantity (62).; Expected invoice amount (36017.41) does not match invoice amount (9542.15).; Earliest received date (2025-08-09) is after the PO delivery date (2025-08-05).
PO1112,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (297) exceeds ordered quantity (194).; ASN shipped quantity (174) does not match GRN received quantity (297).; Expected invoice amount (22032.58) does not match invoice amount (7283.74).; Earliest received date (2025-08-06) is after the PO delivery date (2025-07-03).
PO1113,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (212) exceeds ordered quantity (184).; ASN shipped quantity (155) does not match GRN received quantity (212).; Expected invoice amount (77206.40) does not match invoice amount (7659.41).; Earliest received date (2025-08-06) is after the PO delivery date (2025-07-13).
PO1114,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (213) exceeds ordered quantity (173).; ASN shipped quantity (238) does not match GRN received quantity (213).; Expected invoice amount (15057.92) does not match invoice amount (3250.62).; Earliest received date (2025-08-07) is after the PO delivery date (2025-05-31).
PO1115,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (167) exceeds ordered quantity (86).; ASN shipped quantity (221) does not match GRN received quantity (167).; Expected invoice amount (7175.84) does not match invoice amount (9845.92).; Earliest received date (2025-07-31) is after the PO delivery date (2025-07-29).
PO1116,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (54) is less than ordered quantity (191).; ASN shipped quantity (43) does not match GRN received quantity (54).; Expected invoice amount (10105.81) does not match invoice amount (7845.22).; Earliest received date (2025-08-06) is after the PO delivery date (2025-08-01).
PO1117,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (66) is less than ordered quantity (165).; ASN shipped quantity (125) does not match GRN received quantity (66).; Expected invoice amount (73378.80) does not match invoice amount (4272.30).; Earliest received date (2025-08-09) is after the PO delivery date (2025-07-31).
PO1118,"Over-delivery, ASN/GRN mismatch, Total price discrepancy",Total received quantity (93) exceeds ordered quantity (52).; ASN shipped quantity (132) does not match GRN received quantity (93).; Expected invoice amount (6906.12) does not match invoice amount (9585.82).
