PO_ID,reason,comments
PO1006,Total price discrepancy,Expected invoice amount (26201.70) does not match invoice amount (7071.27).
PO1007,ASN/GRN mismatch,ASN shipped quantity (361) does not match GRN received quantity (594).
PO1007,Late delivery,Earliest received date (2025-08-02) is after the PO delivery date (2025-07-10).
PO1007,Over-delivery,Total received quantity (594) exceeds ordered quantity (63).
PO1007,Total price discrepancy,Expected invoice amount (29359.89) does not match invoice amount (3285.13).
PO1008,Missing GRN,No GRN record found for this PO.
PO1009,Missing GRN,No GRN record found for this PO.
PO1010,Missing GRN,No GRN record found for this PO.
PO1011,Missing GRN,No GRN record found for this PO.
PO1012,ASN/GRN mismatch,ASN shipped quantity (104) does not match GRN received quantity (107).
PO1012,Over-delivery,Total received quantity (107) exceeds ordered quantity (62).
PO1012,Total price discrepancy,Expected invoice amount (14889.92) does not match invoice amount (7473.70).
PO1013,Missing GRN,No GRN record found for this PO.
PO1014,Missing GRN,No GRN record found for this PO.
PO1015,Missing GRN,No GRN record found for this PO.
PO1016,ASN/GRN mismatch,ASN shipped quantity (305) does not match GRN received quantity (369).
PO1016,Late delivery,Earliest received date (2025-08-01) is after the PO delivery date (2025-07-02).
PO1016,Over-delivery,Total received quantity (369) exceeds ordered quantity (157).
PO1016,Total price discrepancy,Expected invoice amount (47855.17) does not match invoice amount (7175.79).
PO1017,ASN/GRN mismatch,ASN shipped quantity (88) does not match GRN received quantity (206).
PO1017,Late delivery,Earliest received date (2025-07-28) is after the PO delivery date (2025-07-19).
PO1017,Over-delivery,Total received quantity (206) exceeds ordered quantity (197).
PO1017,Total price discrepancy,Expected invoice amount (74310.37) does not match invoice amount (1324.13).
PO1018,ASN/GRN mismatch,ASN shipped quantity (149) does not match GRN received quantity (197).
PO1018,Late delivery,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-09).
PO1018,Over-delivery,Total received quantity (197) exceeds ordered quantity (66).
PO1018,Total price discrepancy,Expected invoice amount (24464.88) does not match invoice amount (5441.48).
PO1019,ASN/GRN mismatch,ASN shipped quantity (75) does not match GRN received quantity (178).
PO1019,Over-delivery,Total received quantity (178) exceeds ordered quantity (172).
PO1019,Total price discrepancy,Expected invoice amount (50676.36) does not match invoice amount (9963.84).
PO1020,Missing GRN,No GRN record found for this PO.
PO1021,ASN/GRN mismatch,ASN shipped quantity (103) does not match GRN received quantity (73).
PO1021,Late delivery,Earliest received date (2025-08-09) is after the PO delivery date (2025-07-23).
PO1021,Total price discrepancy,Expected invoice amount (9927.50) does not match invoice amount (1133.07).
PO1021,Under-delivery,Total received quantity (73) is less than ordered quantity (125).
PO1022,ASN/GRN mismatch,ASN shipped quantity (250) does not match GRN received quantity (237).
PO1022,Late delivery,Earliest received date (2025-08-04) is after the PO delivery date (2025-07-14).
PO1022,Over-delivery,Total received quantity (237) exceeds ordered quantity (86).
PO1022,Total price discrepancy,Expected invoice amount (23858.98) does not match invoice amount (2825.91).
PO1023,Missing GRN,No GRN record found for this PO.
PO1024,Missing GRN,No GRN record found for this PO.
PO1025,ASN/GRN mismatch,ASN shipped quantity (222) does not match GRN received quantity (313).
PO1025,Over-delivery,Total received quantity (313) exceeds ordered quantity (96).
PO1025,Total price discrepancy,Expected invoice amount (11730.24) does not match invoice amount (1827.66).
PO1026,ASN/GRN mismatch,ASN shipped quantity (178) does not match GRN received quantity (253).
PO1026,Late delivery,Earliest received date (2025-07-30) is after the PO delivery date (2025-06-11).
PO1026,Over-delivery,Total received quantity (253) exceeds ordered quantity (112).
PO1026,Total price discrepancy,Expected invoice amount (33696.32) does not match invoice amount (9090.76).
PO1027,Missing GRN,No GRN record found for this PO.
PO1028,ASN/GRN mismatch,ASN shipped quantity (133) does not match GRN received quantity (186).
PO1028,Late delivery,Earliest received date (2025-08-11) is after the PO delivery date (2025-07-13).
PO1028,Over-delivery,Total received quantity (186) exceeds ordered quantity (86).
PO1028,Total price discrepancy,Expected invoice amount (37239.72) does not match invoice amount (9944.27).
PO1029,ASN/GRN mismatch,ASN shipped quantity (82) does not match GRN received quantity (211).
PO1029,Late delivery,Earliest received date (2025-07-29) is after the PO delivery date (2025-06-18).
PO1029,Over-delivery,Total received quantity (211) exceeds ordered quantity (108).
PO1029,Total price discrepancy,Expected invoice amount (43972.20) does not match invoice amount (9990.43).
PO1030,Missing GRN,No GRN record found for this PO.
PO1031,ASN/GRN mismatch,ASN shipped quantity (420) does not match GRN received quantity (255).
PO1031,Over-delivery,Total received quantity (255) exceeds ordered quantity (152).
PO1031,Total price discrepancy,Expected invoice amount (60538.56) does not match invoice amount (4132.59).
PO1032,ASN/GRN mismatch,ASN shipped quantity (287) does not match GRN received quantity (340).
PO1032,Late delivery,Earliest received date (2025-07-29) is after the PO delivery date (2025-06-05).
PO1032,Over-delivery,Total received quantity (340) exceeds ordered quantity (182).
PO1032,Total price discrepancy,Expected invoice amount (61182.94) does not match invoice amount (2191.11).
PO1033,ASN/GRN mismatch,ASN shipped quantity (173) does not match GRN received quantity (167).
PO1033,Late delivery,Earliest received date (2025-08-12) is after the PO delivery date (2025-07-08).
PO1033,Over-delivery,Total received quantity (167) exceeds ordered quantity (159).
PO1033,Total price discrepancy,Expected invoice amount (14108.07) does not match invoice amount (6685.30).
PO1034,ASN/GRN mismatch,ASN shipped quantity (166) does not match GRN received quantity (217).
PO1034,Over-delivery,Total received quantity (217) exceeds ordered quantity (55).
PO1034,Total price discrepancy,Expected invoice amount (5382.30) does not match invoice amount (5379.74).
PO1035,ASN/GRN mismatch,ASN shipped quantity (436) does not match GRN received quantity (295).
PO1035,Late delivery,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-12).
PO1035,Over-delivery,Total received quantity (295) exceeds ordered quantity (60).
PO1035,Total price discrepancy,Expected invoice amount (8557.20) does not match invoice amount (8925.35).
PO1036,Missing GRN,No GRN record found for this PO.
PO1037,ASN/GRN mismatch,ASN shipped quantity (289) does not match GRN received quantity (350).
PO1037,Late delivery,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-27).
PO1037,Over-delivery,Total received quantity (350) exceeds ordered quantity (79).
PO1037,Total price discrepancy,Expected invoice amount (5703.80) does not match invoice amount (8027.86).
PO1038,ASN/GRN mismatch,ASN shipped quantity (365) does not match GRN received quantity (159).
PO1038,Late delivery,Earliest received date (2025-07-29) is after the PO delivery date (2025-06-12).
PO1038,Total price discrepancy,Expected invoice amount (77895.02) does not match invoice amount (2152.19).
PO1038,Under-delivery,Total received quantity (159) is less than ordered quantity (161).
PO1039,ASN/GRN mismatch,ASN shipped quantity (80) does not match GRN received quantity (33).
PO1039,Total price discrepancy,Expected invoice amount (32895.08) does not match invoice amount (5821.86).
PO1039,Under-delivery,Total received quantity (33) is less than ordered quantity (76).
PO1040,ASN/GRN mismatch,ASN shipped quantity (293) does not match GRN received quantity (262).
PO1040,Late delivery,Earliest received date (2025-08-04) is after the PO delivery date (2025-06-16).
PO1040,Over-delivery,Total received quantity (262) exceeds ordered quantity (56).
PO1040,Total price discrepancy,Expected invoice amount (17941.84) does not match invoice amount (4626.15).
PO1041,Missing GRN,No GRN record found for this PO.
PO1042,Missing GRN,No GRN record found for this PO.
PO1043,ASN/GRN mismatch,ASN shipped quantity (493) does not match GRN received quantity (588).
PO1043,Late delivery,Earliest received date (2025-08-03) is after the PO delivery date (2025-07-20).
PO1043,Over-delivery,Total received quantity (588) exceeds ordered quantity (113).
PO1043,Total price discrepancy,Expected invoice amount (13252.64) does not match invoice amount (8017.67).
PO1044,ASN/GRN mismatch,ASN shipped quantity (362) does not match GRN received quantity (534).
PO1044,Late delivery,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-04).
PO1044,Over-delivery,Total received quantity (534) exceeds ordered quantity (199).
PO1044,Total price discrepancy,Expected invoice amount (59425.38) does not match invoice amount (9587.26).
PO1045,ASN/GRN mismatch,ASN shipped quantity (166) does not match GRN received quantity (191).
PO1045,Late delivery,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-17).
PO1045,Over-delivery,Total received quantity (191) exceeds ordered quantity (161).
PO1045,Total price discrepancy,Expected invoice amount (60787.16) does not match invoice amount (3107.10).
PO1046,ASN/GRN mismatch,ASN shipped quantity (288) does not match GRN received quantity (189).
PO1046,Late delivery,Earliest received date (2025-08-04) is after the PO delivery date (2025-07-11).
PO1046,Over-delivery,Total received quantity (189) exceeds ordered quantity (70).
PO1046,Total price discrepancy,Expected invoice amount (14926.80) does not match invoice amount (8531.96).
PO1047,ASN/GRN mismatch,ASN shipped quantity (230) does not match GRN received quantity (186).
PO1047,Late delivery,Earliest received date (2025-07-28) is after the PO delivery date (2025-07-02).
PO1047,Over-delivery,Total received quantity (186) exceeds ordered quantity (110).
PO1047,Total price discrepancy,Expected invoice amount (34224.30) does not match invoice amount (2248.97).
PO1048,ASN/GRN mismatch,ASN shipped quantity (183) does not match GRN received quantity (200).
PO1048,Late delivery,Earliest received date (2025-08-01) is after the PO delivery date (2025-07-20).
PO1048,Over-delivery,Total received quantity (200) exceeds ordered quantity (134).
PO1048,Total price discrepancy,Expected invoice amount (57051.84) does not match invoice amount (7250.01).
PO1049,ASN/GRN mismatch,ASN shipped quantity (127) does not match GRN received quantity (59).
PO1049,Late delivery,Earliest received date (2025-07-29) is after the PO delivery date (2025-07-25).
PO1049,Total price discrepancy,Expected invoice amount (28589.30) does not match invoice amount (8394.36).
PO1049,Under-delivery,Total received quantity (59) is less than ordered quantity (82).
PO1050,ASN/GRN mismatch,ASN shipped quantity (184) does not match GRN received quantity (99).
PO1050,Late delivery,Earliest received date (2025-08-08) is after the PO delivery date (2025-07-13).
PO1050,Total price discrepancy,Expected invoice amount (43301.35) does not match invoice amount (4210.94).
PO1050,Under-delivery,Total received quantity (99) is less than ordered quantity (145).
PO1051,ASN/GRN mismatch,ASN shipped quantity (302) does not match GRN received quantity (278).
PO1051,Late delivery,Earliest received date (2025-08-01) is after the PO delivery date (2025-07-24).
PO1051,Over-delivery,Total received quantity (278) exceeds ordered quantity (148).
PO1051,Total price discrepancy,Expected invoice amount (61695.28) does not match invoice amount (8283.17).
PO1052,ASN/GRN mismatch,ASN shipped quantity (228) does not match GRN received quantity (235).
PO1052,Late delivery,Earliest received date (2025-08-04) is after the PO delivery date (2025-06-18).
PO1052,Over-delivery,Total received quantity (235) exceeds ordered quantity (171).
PO1052,Total price discrepancy,Expected invoice amount (35487.63) does not match invoice amount (8649.54).
PO1053,ASN/GRN mismatch,ASN shipped quantity (63) does not match GRN received quantity (53).
PO1053,Late delivery,Earliest received date (2025-08-16) is after the PO delivery date (2025-08-10).
PO1053,Total price discrepancy,Expected invoice amount (14492.53) does not match invoice amount (2101.05).
PO1053,Under-delivery,Total received quantity (53) is less than ordered quantity (131).
PO1054,ASN/GRN mismatch,ASN shipped quantity (285) does not match GRN received quantity (288).
PO1054,Late delivery,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-21).
PO1054,Over-delivery,Total received quantity (288) exceeds ordered quantity (58).
PO1054,Total price discrepancy,Expected invoice amount (14376.46) does not match invoice amount (4714.81).
PO1055,ASN/GRN mismatch,ASN shipped quantity (586) does not match GRN received quantity (541).
PO1055,Over-delivery,Total received quantity (541) exceeds ordered quantity (132).
PO1055,Total price discrepancy,Expected invoice amount (31864.80) does not match invoice amount (5975.75).
PO1056,ASN/GRN mismatch,ASN shipped quantity (185) does not match GRN received quantity (142).
PO1056,Late delivery,Earliest received date (2025-08-02) is after the PO delivery date (2025-07-23).
PO1056,Total price discrepancy,Expected invoice amount (54296.52) does not match invoice amount (8933.63).
PO1056,Under-delivery,Total received quantity (142) is less than ordered quantity (177).
PO1057,Missing GRN,No GRN record found for this PO.
PO1058,Missing GRN,No GRN record found for this PO.
PO1059,ASN/GRN mismatch,ASN shipped quantity (316) does not match GRN received quantity (353).
PO1059,Late delivery,Earliest received date (2025-07-29) is after the PO delivery date (2025-05-28).
PO1059,Over-delivery,Total received quantity (353) exceeds ordered quantity (105).
PO1059,Total price discrepancy,Expected invoice amount (9641.10) does not match invoice amount (2983.04).
PO1060,ASN/GRN mismatch,ASN shipped quantity (104) does not match GRN received quantity (214).
PO1060,Late delivery,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-13).
PO1060,Over-delivery,Total received quantity (214) exceeds ordered quantity (144).
PO1060,Total price discrepancy,Expected invoice amount (54859.68) does not match invoice amount (7235.97).
PO1061,ASN/GRN mismatch,ASN shipped quantity (289) does not match GRN received quantity (370).
PO1061,Late delivery,Earliest received date (2025-08-09) is after the PO delivery date (2025-06-03).
PO1061,Over-delivery,Total received quantity (370) exceeds ordered quantity (50).
PO1061,Total price discrepancy,Expected invoice amount (6115.50) does not match invoice amount (4409.49).
PO1062,ASN/GRN mismatch,ASN shipped quantity (365) does not match GRN received quantity (206).
PO1062,Late delivery,Earliest received date (2025-08-06) is after the PO delivery date (2025-07-31).
PO1062,Over-delivery,Total received quantity (206) exceeds ordered quantity (87).
PO1062,Total price discrepancy,Expected invoice amount (37958.97) does not match invoice amount (4529.78).
PO1063,ASN/GRN mismatch,ASN shipped quantity (118) does not match GRN received quantity (133).
PO1063,Late delivery,Earliest received date (2025-08-07) is after the PO delivery date (2025-07-25).
PO1063,Over-delivery,Total received quantity (133) exceeds ordered quantity (92).
PO1063,Total price discrepancy,Expected invoice amount (8245.04) does not match invoice amount (4041.22).
PO1064,ASN/GRN mismatch,ASN shipped quantity (308) does not match GRN received quantity (62).
PO1064,Late delivery,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-30).
PO1064,Total price discrepancy,Expected invoice amount (31749.66) does not match invoice amount (5130.10).
PO1064,Under-delivery,Total received quantity (62) is less than ordered quantity (69).
PO1065,ASN/GRN mismatch,ASN shipped quantity (276) does not match GRN received quantity (304).
PO1065,Over-delivery,Total received quantity (304) exceeds ordered quantity (198).
PO1065,Total price discrepancy,Expected invoice amount (91951.20) does not match invoice amount (2126.52).
PO1066,ASN/GRN mismatch,ASN shipped quantity (196) does not match GRN received quantity (120).
PO1066,Late delivery,Earliest received date (2025-08-03) is after the PO delivery date (2025-07-28).
PO1066,Over-delivery,Total received quantity (120) exceeds ordered quantity (103).
PO1066,Total price discrepancy,Expected invoice amount (9323.56) does not match invoice amount (3925.94).
PO1067,ASN/GRN mismatch,ASN shipped quantity (421) does not match GRN received quantity (389).
PO1067,Late delivery,Earliest received date (2025-08-09) is after the PO delivery date (2025-07-23).
PO1067,Over-delivery,Total received quantity (389) exceeds ordered quantity (72).
PO1067,Total price discrepancy,Expected invoice amount (3920.40) does not match invoice amount (7878.04).
PO1068,Missing GRN,No GRN record found for this PO.
PO1069,ASN/GRN mismatch,ASN shipped quantity (246) does not match GRN received quantity (285).
PO1069,Late delivery,Earliest received date (2025-08-06) is after the PO delivery date (2025-07-01).
PO1069,Over-delivery,Total received quantity (285) exceeds ordered quantity (184).
PO1069,Total price discrepancy,Expected invoice amount (52333.28) does not match invoice amount (3451.11).
PO1070,ASN/GRN mismatch,ASN shipped quantity (62) does not match GRN received quantity (124).
PO1070,Late delivery,Earliest received date (2025-08-11) is after the PO delivery date (2025-07-27).
PO1070,Total price discrepancy,Expected invoice amount (65247.28) does not match invoice amount (4951.48).
PO1070,Under-delivery,Total received quantity (124) is less than ordered quantity (188).
PO1071,ASN/GRN mismatch,ASN shipped quantity (497) does not match GRN received quantity (311).
PO1071,Late delivery,Earliest received date (2025-07-29) is after the PO delivery date (2025-07-16).
PO1071,Over-delivery,Total received quantity (311) exceeds ordered quantity (89).
PO1071,Total price discrepancy,Expected invoice amount (31487.31) does not match invoice amount (1674.00).
PO1072,ASN/GRN mismatch,ASN shipped quantity (137) does not match GRN received quantity (203).
PO1072,Late delivery,Earliest received date (2025-07-29) is after the PO delivery date (2025-07-07).
PO1072,Over-delivery,Total received quantity (203) exceeds ordered quantity (183).
PO1072,Total price discrepancy,Expected invoice amount (44264.04) does not match invoice amount (2442.47).
PO1073,ASN/GRN mismatch,ASN shipped quantity (133) does not match GRN received quantity (161).
PO1073,Over-delivery,Total received quantity (161) exceeds ordered quantity (55).
PO1073,Total price discrepancy,Expected invoice amount (17571.95) does not match invoice amount (5773.92).
PO1074,Missing GRN,No GRN record found for this PO.
PO1075,ASN/GRN mismatch,ASN shipped quantity (232) does not match GRN received quantity (326).
PO1075,Late delivery,Earliest received date (2025-08-01) is after the PO delivery date (2025-07-25).
PO1075,Over-delivery,Total received quantity (326) exceeds ordered quantity (189).
PO1075,Total price discrepancy,Expected invoice amount (42850.08) does not match invoice amount (4050.65).
PO1076,ASN/GRN mismatch,ASN shipped quantity (266) does not match GRN received quantity (348).
PO1076,Late delivery,Earliest received date (2025-07-28) is after the PO delivery date (2025-07-24).
PO1076,Over-delivery,Total received quantity (348) exceeds ordered quantity (199).
PO1076,Total price discrepancy,Expected invoice amount (74388.19) does not match invoice amount (1963.97).
PO1077,ASN/GRN mismatch,ASN shipped quantity (59) does not match GRN received quantity (128).
PO1077,Late delivery,Earliest received date (2025-08-04) is after the PO delivery date (2025-07-29).
PO1077,Total price discrepancy,Expected invoice amount (37585.60) does not match invoice amount (6225.10).
PO1077,Under-delivery,Total received quantity (128) is less than ordered quantity (130).
PO1078,ASN/GRN mismatch,ASN shipped quantity (279) does not match GRN received quantity (456).
PO1078,Late delivery,Earliest received date (2025-08-09) is after the PO delivery date (2025-07-22).
PO1078,Over-delivery,Total received quantity (456) exceeds ordered quantity (119).
PO1078,Total price discrepancy,Expected invoice amount (16900.38) does not match invoice amount (2313.18).
PO1079,Missing GRN,No GRN record found for this PO.
PO1080,ASN/GRN mismatch,ASN shipped quantity (574) does not match GRN received quantity (464).
PO1080,Over-delivery,Total received quantity (464) exceeds ordered quantity (57).
PO1080,Total price discrepancy,Expected invoice amount (25490.40) does not match invoice amount (2607.65).
PO1081,ASN/GRN mismatch,ASN shipped quantity (196) does not match GRN received quantity (131).
PO1081,Late delivery,Earliest received date (2025-08-08) is after the PO delivery date (2025-07-07).
PO1081,Over-delivery,Total received quantity (131) exceeds ordered quantity (73).
PO1081,Total price discrepancy,Expected invoice amount (14277.34) does not match invoice amount (8805.03).
PO1082,Missing GRN,No GRN record found for this PO.
PO1083,ASN/GRN mismatch,ASN shipped quantity (84) does not match GRN received quantity (111).
PO1083,Late delivery,Earliest received date (2025-08-09) is after the PO delivery date (2025-07-16).
PO1083,Over-delivery,Total received quantity (111) exceeds ordered quantity (82).
PO1083,Total price discrepancy,Expected invoice amount (26125.20) does not match invoice amount (1037.90).
PO1084,ASN/GRN mismatch,ASN shipped quantity (90) does not match GRN received quantity (194).
PO1084,Late delivery,Earliest received date (2025-07-28) is after the PO delivery date (2025-07-05).
PO1084,Over-delivery,Total received quantity (194) exceeds ordered quantity (167).
PO1084,Total price discrepancy,Expected invoice amount (66392.52) does not match invoice amount (2422.52).
PO1085,Missing GRN,No GRN record found for this PO.
PO1086,ASN/GRN mismatch,ASN shipped quantity (82) does not match GRN received quantity (95).
PO1086,Late delivery,Earliest received date (2025-08-03) is after the PO delivery date (2025-06-25).
PO1086,Over-delivery,Total received quantity (95) exceeds ordered quantity (69).
PO1086,Total price discrepancy,Expected invoice amount (4311.12) does not match invoice amount (3528.81).
PO1087,Missing GRN,No GRN record found for this PO.
PO1088,ASN/GRN mismatch,ASN shipped quantity (52) does not match GRN received quantity (144).
PO1088,Late delivery,Earliest received date (2025-08-06) is after the PO delivery date (2025-07-19).
PO1088,Over-delivery,Total received quantity (144) exceeds ordered quantity (73).
PO1088,Total price discrepancy,Expected invoice amount (18382.13) does not match invoice amount (6440.52).
PO1089,Missing GRN,No GRN record found for this PO.
PO1090,ASN/GRN mismatch,ASN shipped quantity (358) does not match GRN received quantity (295).
PO1090,Over-delivery,Total received quantity (295) exceeds ordered quantity (184).
PO1090,Total price discrepancy,Expected invoice amount (52182.40) does not match invoice amount (6149.77).
PO1091,ASN/GRN mismatch,ASN shipped quantity (183) does not match GRN received quantity (43).
PO1091,Late delivery,Earliest received date (2025-07-28) is after the PO delivery date (2025-07-21).
PO1091,Total price discrepancy,Expected invoice amount (23596.90) does not match invoice amount (4937.79).
PO1091,Under-delivery,Total received quantity (43) is less than ordered quantity (83).
PO1092,ASN/GRN mismatch,ASN shipped quantity (105) does not match GRN received quantity (111).
PO1092,Late delivery,Earliest received date (2025-08-16) is after the PO delivery date (2025-07-09).
PO1092,Over-delivery,Total received quantity (111) exceeds ordered quantity (95).
PO1092,Total price discrepancy,Expected invoice amount (11377.20) does not match invoice amount (3128.91).
PO1093,ASN/GRN mismatch,ASN shipped quantity (46) does not match GRN received quantity (65).
PO1093,Late delivery,Earliest received date (2025-08-13) is after the PO delivery date (2025-06-21).
PO1093,Total price discrepancy,Expected invoice amount (58948.56) does not match invoice amount (5255.28).
PO1093,Under-delivery,Total received quantity (65) is less than ordered quantity (162).
PO1094,ASN/GRN mismatch,ASN shipped quantity (112) does not match GRN received quantity (213).
PO1094,Late delivery,Earliest received date (2025-07-31) is after the PO delivery date (2025-06-06).
PO1094,Over-delivery,Total received quantity (213) exceeds ordered quantity (194).
PO1094,Total price discrepancy,Expected invoice amount (22587.42) does not match invoice amount (9950.74).
PO1095,Missing GRN,No GRN record found for this PO.
PO1096,ASN/GRN mismatch,ASN shipped quantity (181) does not match GRN received quantity (147).
PO1096,Late delivery,Earliest received date (2025-08-10) is after the PO delivery date (2025-08-07).
PO1096,Over-delivery,Total received quantity (147) exceeds ordered quantity (65).
PO1096,Total price discrepancy,Expected invoice amount (21565.05) does not match invoice amount (3981.81).
PO1097,ASN/GRN mismatch,ASN shipped quantity (128) does not match GRN received quantity (125).
PO1097,Late delivery,Earliest received date (2025-08-12) is after the PO delivery date (2025-07-06).
PO1097,Over-delivery,Total received quantity (125) exceeds ordered quantity (102).
PO1097,Total price discrepancy,Expected invoice amount (14853.24) does not match invoice amount (7865.15).
PO1098,ASN/GRN mismatch,ASN shipped quantity (150) does not match GRN received quantity (76).
PO1098,Late delivery,Earliest received date (2025-08-15) is after the PO delivery date (2025-07-25).
PO1098,Total price discrepancy,Expected invoice amount (47363.16) does not match invoice amount (2095.50).
PO1098,Under-delivery,Total received quantity (76) is less than ordered quantity (156).
PO1099,ASN/GRN mismatch,ASN shipped quantity (66) does not match GRN received quantity (157).
PO1099,Late delivery,Earliest received date (2025-08-08) is after the PO delivery date (2025-07-02).
PO1099,Over-delivery,Total received quantity (157) exceeds ordered quantity (66).
PO1099,Total price discrepancy,Expected invoice amount (16174.62) does not match invoice amount (2042.87).
PO1100,ASN/GRN mismatch,ASN shipped quantity (243) does not match GRN received quantity (524).
PO1100,Late delivery,Earliest received date (2025-08-03) is after the PO delivery date (2025-07-20).
PO1100,Over-delivery,Total received quantity (524) exceeds ordered quantity (139).
PO1100,Total price discrepancy,Expected invoice amount (24700.30) does not match invoice amount (6493.45).
PO1101,ASN/GRN mismatch,ASN shipped quantity (59) does not match GRN received quantity (95).
PO1101,Late delivery,Earliest received date (2025-08-12) is after the PO delivery date (2025-07-18).
PO1101,Total price discrepancy,Expected invoice amount (46343.16) does not match invoice amount (5285.67).
PO1101,Under-delivery,Total received quantity (95) is less than ordered quantity (174).
PO1102,Missing GRN,No GRN record found for this PO.
PO1103,ASN/GRN mismatch,ASN shipped quantity (171) does not match GRN received quantity (111).
PO1103,Late delivery,Earliest received date (2025-08-07) is after the PO delivery date (2025-06-08).
PO1103,Total price discrepancy,Expected invoice amount (57515.77) does not match invoice amount (1105.73).
PO1103,Under-delivery,Total received quantity (111) is less than ordered quantity (169).
PO1104,ASN/GRN mismatch,ASN shipped quantity (242) does not match GRN received quantity (274).
PO1104,Late delivery,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-23).
PO1104,Over-delivery,Total received quantity (274) exceeds ordered quantity (189).
PO1104,Total price discrepancy,Expected invoice amount (23186.52) does not match invoice amount (7293.83).
PO1105,ASN/GRN mismatch,ASN shipped quantity (132) does not match GRN received quantity (186).
PO1105,Late delivery,Earliest received date (2025-08-14) is after the PO delivery date (2025-08-03).
PO1105,Over-delivery,Total received quantity (186) exceeds ordered quantity (159).
PO1105,Total price discrepancy,Expected invoice amount (46939.98) does not match invoice amount (1262.72).
PO1106,ASN/GRN mismatch,ASN shipped quantity (155) does not match GRN received quantity (101).
PO1106,Late delivery,Earliest received date (2025-08-05) is after the PO delivery date (2025-07-23).
PO1106,Over-delivery,Total received quantity (101) exceeds ordered quantity (99).
PO1106,Total price discrepancy,Expected invoice amount (18051.66) does not match invoice amount (2843.51).
PO1107,ASN/GRN mismatch,ASN shipped quantity (87) does not match GRN received quantity (74).
PO1107,Late delivery,Earliest received date (2025-08-14) is after the PO delivery date (2025-07-07).
PO1107,Over-delivery,Total received quantity (74) exceeds ordered quantity (67).
PO1107,Total price discrepancy,Expected invoice amount (15515.86) does not match invoice amount (5954.16).
PO1108,Missing GRN,No GRN record found for this PO.
PO1109,ASN/GRN mismatch,ASN shipped quantity (284) does not match GRN received quantity (361).
PO1109,Late delivery,Earliest received date (2025-07-30) is after the PO delivery date (2025-06-17).
PO1109,Over-delivery,Total received quantity (361) exceeds ordered quantity (142).
PO1109,Total price discrepancy,Expected invoice amount (25859.62) does not match invoice amount (1079.55).
PO1110,ASN/GRN mismatch,ASN shipped quantity (92) does not match GRN received quantity (205).
PO1110,Late delivery,Earliest received date (2025-08-15) is after the PO delivery date (2025-07-08).
PO1110,Over-delivery,Total received quantity (205) exceeds ordered quantity (178).
PO1110,Total price discrepancy,Expected invoice amount (74991.40) does not match invoice amount (8117.26).
PO1111,ASN/GRN mismatch,ASN shipped quantity (89) does not match GRN received quantity (62).
