PO_ID,ASN/GRN mismatch,comments_ASN/GRN mismatch,Late delivery,comments_Late delivery,Missing GRN,comments_Missing GRN,No issues,comments_No issues,Over-delivery,comments_Over-delivery,Total price discrepancy,comments_Total price discrepancy,Under-delivery,comments_Under-delivery
PO1047,y,ASN shipped quantity (230) does not match GRN received quantity (186).,y,Earliest received date (2025-07-28) is after the PO delivery date (2025-07-02).,n,,n,,y,Total received quantity (186) exceeds ordered quantity (110).,y,Expected invoice amount (34224.30) does not match invoice amount (2248.97).,n,
PO1048,y,ASN shipped quantity (183) does not match GRN received quantity (200).,y,Earliest received date (2025-08-01) is after the PO delivery date (2025-07-20).,n,,n,,y,Total received quantity (200) exceeds ordered quantity (134).,y,Expected invoice amount (57051.84) does not match invoice amount (7250.01).,n,
PO1049,y,ASN shipped quantity (127) does not match GRN received quantity (59).,y,Earliest received date (2025-07-29) is after the PO delivery date (2025-07-25).,n,,n,,n,,y,Expected invoice amount (28589.30) does not match invoice amount (8394.36).,y,Total received quantity (59) is less than ordered quantity (82).
PO1050,y,ASN shipped quantity (184) does not match GRN received quantity (99).,y,Earliest received date (2025-08-08) is after the PO delivery date (2025-07-13).,n,,n,,n,,y,Expected invoice amount (43301.35) does not match invoice amount (4210.94).,y,Total received quantity (99) is less than ordered quantity (145).
PO1051,y,ASN shipped quantity (302) does not match GRN received quantity (278).,y,Earliest received date (2025-08-01) is after the PO delivery date (2025-07-24).,n,,n,,y,Total received quantity (278) exceeds ordered quantity (148).,y,Expected invoice amount (61695.28) does not match invoice amount (8283.17).,n,
PO1052,y,ASN shipped quantity (228) does not match GRN received quantity (235).,y,Earliest received date (2025-08-04) is after the PO delivery date (2025-06-18).,n,,n,,y,Total received quantity (235) exceeds ordered quantity (171).,y,Expected invoice amount (35487.63) does not match invoice amount (8649.54).,n,
PO1053,y,ASN shipped quantity (63) does not match GRN received quantity (53).,y,Earliest received date (2025-08-16) is after the PO delivery date (2025-08-10).,n,,n,,n,,y,Expected invoice amount (14492.53) does not match invoice amount (2101.05).,y,Total received quantity (53) is less than ordered quantity (131).
PO1054,y,ASN shipped quantity (285) does not match GRN received quantity (288).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-21).,n,,n,,y,Total received quantity (288) exceeds ordered quantity (58).,y,Expected invoice amount (14376.46) does not match invoice amount (4714.81).,n,
PO1055,y,ASN shipped quantity (586) does not match GRN received quantity (541).,n,,n,,n,,y,Total received quantity (541) exceeds ordered quantity (132).,y,Expected invoice amount (31864.80) does not match invoice amount (5975.75).,n,
PO1056,y,ASN shipped quantity (185) does not match GRN received quantity (142).,y,Earliest received date (2025-08-02) is after the PO delivery date (2025-07-23).,n,,n,,n,,y,Expected invoice amount (54296.52) does not match invoice amount (8933.63).,y,Total received quantity (142) is less than ordered quantity (177).
PO1057,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1058,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1059,y,ASN shipped quantity (316) does not match GRN received quantity (353).,y,Earliest received date (2025-07-29) is after the PO delivery date (2025-05-28).,n,,n,,y,Total received quantity (353) exceeds ordered quantity (105).,y,Expected invoice amount (9641.10) does not match invoice amount (2983.04).,n,
PO1060,y,ASN shipped quantity (104) does not match GRN received quantity (214).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-13).,n,,n,,y,Total received quantity (214) exceeds ordered quantity (144).,y,Expected invoice amount (54859.68) does not match invoice amount (7235.97).,n,
PO1061,y,ASN shipped quantity (289) does not match GRN received quantity (370).,y,Earliest received date (2025-08-09) is after the PO delivery date (2025-06-03).,n,,n,,y,Total received quantity (370) exceeds ordered quantity (50).,y,Expected invoice amount (6115.50) does not match invoice amount (4409.49).,n,
PO1062,y,ASN shipped quantity (365) does not match GRN received quantity (206).,y,Earliest received date (2025-08-06) is after the PO delivery date (2025-07-31).,n,,n,,y,Total received quantity (206) exceeds ordered quantity (87).,y,Expected invoice amount (37958.97) does not match invoice amount (4529.78).,n,
PO1063,y,ASN shipped quantity (118) does not match GRN received quantity (133).,y,Earliest received date (2025-08-07) is after the PO delivery date (2025-07-25).,n,,n,,y,Total received quantity (133) exceeds ordered quantity (92).,y,Expected invoice amount (8245.04) does not match invoice amount (4041.22).,n,
PO1064,y,ASN shipped quantity (308) does not match GRN received quantity (62).,y,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-30).,n,,n,,n,,y,Expected invoice amount (31749.66) does not match invoice amount (5130.10).,y,Total received quantity (62) is less than ordered quantity (69).
PO1065,y,ASN shipped quantity (276) does not match GRN received quantity (304).,n,,n,,n,,y,Total received quantity (304) exceeds ordered quantity (198).,y,Expected invoice amount (91951.20) does not match invoice amount (2126.52).,n,
PO1066,y,ASN shipped quantity (196) does not match GRN received quantity (120).,y,Earliest received date (2025-08-03) is after the PO delivery date (2025-07-28).,n,,n,,y,Total received quantity (120) exceeds ordered quantity (103).,y,Expected invoice amount (9323.56) does not match invoice amount (3925.94).,n,
PO1067,y,ASN shipped quantity (421) does not match GRN received quantity (389).,y,Earliest received date (2025-08-09) is after the PO delivery date (2025-07-23).,n,,n,,y,Total received quantity (389) exceeds ordered quantity (72).,y,Expected invoice amount (3920.40) does not match invoice amount (7878.04).,n,
PO1068,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1069,y,ASN shipped quantity (246) does not match GRN received quantity (285).,y,Earliest received date (2025-08-06) is after the PO delivery date (2025-07-01).,n,,n,,y,Total received quantity (285) exceeds ordered quantity (184).,y,Expected invoice amount (52333.28) does not match invoice amount (3451.11).,n,
PO1070,y,ASN shipped quantity (62) does not match GRN received quantity (124).,y,Earliest received date (2025-08-11) is after the PO delivery date (2025-07-27).,n,,n,,n,,y,Expected invoice amount (65247.28) does not match invoice amount (4951.48).,y,Total received quantity (124) is less than ordered quantity (188).
PO1071,y,ASN shipped quantity (497) does not match GRN received quantity (311).,y,Earliest received date (2025-07-29) is after the PO delivery date (2025-07-16).,n,,n,,y,Total received quantity (311) exceeds ordered quantity (89).,y,Expected invoice amount (31487.31) does not match invoice amount (1674.00).,n,
PO1072,y,ASN shipped quantity (137) does not match GRN received quantity (203).,y,Earliest received date (2025-07-29) is after the PO delivery date (2025-07-07).,n,,n,,y,Total received quantity (203) exceeds ordered quantity (183).,y,Expected invoice amount (44264.04) does not match invoice amount (2442.47).,n,
PO1073,y,ASN shipped quantity (133) does not match GRN received quantity (161).,n,,n,,n,,y,Total received quantity (161) exceeds ordered quantity (55).,y,Expected invoice amount (17571.95) does not match invoice amount (5773.92).,n,
PO1074,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1075,y,ASN shipped quantity (232) does not match GRN received quantity (326).,y,Earliest received date (2025-08-01) is after the PO delivery date (2025-07-25).,n,,n,,y,Total received quantity (326) exceeds ordered quantity (189).,y,Expected invoice amount (42850.08) does not match invoice amount (4050.65).,n,
PO1076,y,ASN shipped quantity (266) does not match GRN received quantity (348).,y,Earliest received date (2025-07-28) is after the PO delivery date (2025-07-24).,n,,n,,y,Total received quantity (348) exceeds ordered quantity (199).,y,Expected invoice amount (74388.19) does not match invoice amount (1963.97).,n,
PO1077,y,ASN shipped quantity (59) does not match GRN received quantity (128).,y,Earliest received date (2025-08-04) is after the PO delivery date (2025-07-29).,n,,n,,n,,y,Expected invoice amount (37585.60) does not match invoice amount (6225.10).,y,Total received quantity (128) is less than ordered quantity (130).
PO1078,y,ASN shipped quantity (279) does not match GRN received quantity (456).,y,Earliest received date (2025-08-09) is after the PO delivery date (2025-07-22).,n,,n,,y,Total received quantity (456) exceeds ordered quantity (119).,y,Expected invoice amount (16900.38) does not match invoice amount (2313.18).,n,
PO1079,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1080,y,ASN shipped quantity (574) does not match GRN received quantity (464).,n,,n,,n,,y,Total received quantity (464) exceeds ordered quantity (57).,y,Expected invoice amount (25490.40) does not match invoice amount (2607.65).,n,
PO1081,y,ASN shipped quantity (196) does not match GRN received quantity (131).,y,Earliest received date (2025-08-08) is after the PO delivery date (2025-07-07).,n,,n,,y,Total received quantity (131) exceeds ordered quantity (73).,y,Expected invoice amount (14277.34) does not match invoice amount (8805.03).,n,
PO1082,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1083,y,ASN shipped quantity (84) does not match GRN received quantity (111).,y,Earliest received date (2025-08-09) is after the PO delivery date (2025-07-16).,n,,n,,y,Total received quantity (111) exceeds ordered quantity (82).,y,Expected invoice amount (26125.20) does not match invoice amount (1037.90).,n,
PO1084,y,ASN shipped quantity (90) does not match GRN received quantity (194).,y,Earliest received date (2025-07-28) is after the PO delivery date (2025-07-05).,n,,n,,y,Total received quantity (194) exceeds ordered quantity (167).,y,Expected invoice amount (66392.52) does not match invoice amount (2422.52).,n,
PO1085,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1086,y,ASN shipped quantity (82) does not match GRN received quantity (95).,y,Earliest received date (2025-08-03) is after the PO delivery date (2025-06-25).,n,,n,,y,Total received quantity (95) exceeds ordered quantity (69).,y,Expected invoice amount (4311.12) does not match invoice amount (3528.81).,n,
PO1087,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1088,y,ASN shipped quantity (52) does not match GRN received quantity (144).,y,Earliest received date (2025-08-06) is after the PO delivery date (2025-07-19).,n,,n,,y,Total received quantity (144) exceeds ordered quantity (73).,y,Expected invoice amount (18382.13) does not match invoice amount (6440.52).,n,
PO1089,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1090,y,ASN shipped quantity (358) does not match GRN received quantity (295).,n,,n,,n,,y,Total received quantity (295) exceeds ordered quantity (184).,y,Expected invoice amount (52182.40) does not match invoice amount (6149.77).,n,
PO1091,y,ASN shipped quantity (183) does not match GRN received quantity (43).,y,Earliest received date (2025-07-28) is after the PO delivery date (2025-07-21).,n,,n,,n,,y,Expected invoice amount (23596.90) does not match invoice amount (4937.79).,y,Total received quantity (43) is less than ordered quantity (83).
PO1092,y,ASN shipped quantity (105) does not match GRN received quantity (111).,y,Earliest received date (2025-08-16) is after the PO delivery date (2025-07-09).,n,,n,,y,Total received quantity (111) exceeds ordered quantity (95).,y,Expected invoice amount (11377.20) does not match invoice amount (3128.91).,n,
PO1093,y,ASN shipped quantity (46) does not match GRN received quantity (65).,y,Earliest received date (2025-08-13) is after the PO delivery date (2025-06-21).,n,,n,,n,,y,Expected invoice amount (58948.56) does not match invoice amount (5255.28).,y,Total received quantity (65) is less than ordered quantity (162).
PO1094,y,ASN shipped quantity (112) does not match GRN received quantity (213).,y,Earliest received date (2025-07-31) is after the PO delivery date (2025-06-06).,n,,n,,y,Total received quantity (213) exceeds ordered quantity (194).,y,Expected invoice amount (22587.42) does not match invoice amount (9950.74).,n,
PO1095,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1096,y,ASN shipped quantity (181) does not match GRN received quantity (147).,y,Earliest received date (2025-08-10) is after the PO delivery date (2025-08-07).,n,,n,,y,Total received quantity (147) exceeds ordered quantity (65).,y,Expected invoice amount (21565.05) does not match invoice amount (3981.81).,n,
PO1097,y,ASN shipped quantity (128) does not match GRN received quantity (125).,y,Earliest received date (2025-08-12) is after the PO delivery date (2025-07-06).,n,,n,,y,Total received quantity (125) exceeds ordered quantity (102).,y,Expected invoice amount (14853.24) does not match invoice amount (7865.15).,n,
PO1098,y,ASN shipped quantity (150) does not match GRN received quantity (76).,y,Earliest received date (2025-08-15) is after the PO delivery date (2025-07-25).,n,,n,,n,,y,Expected invoice amount (47363.16) does not match invoice amount (2095.50).,y,Total received quantity (76) is less than ordered quantity (156).
PO1099,y,ASN shipped quantity (66) does not match GRN received quantity (157).,y,Earliest received date (2025-08-08) is after the PO delivery date (2025-07-02).,n,,n,,y,Total received quantity (157) exceeds ordered quantity (66).,y,Expected invoice amount (16174.62) does not match invoice amount (2042.87).,n,
PO1100,y,ASN shipped quantity (243) does not match GRN received quantity (524).,y,Earliest received date (2025-08-03) is after the PO delivery date (2025-07-20).,n,,n,,y,Total received quantity (524) exceeds ordered quantity (139).,y,Expected invoice amount (24700.30) does not match invoice amount (6493.45).,n,
PO1101,y,ASN shipped quantity (59) does not match GRN received quantity (95).,y,Earliest received date (2025-08-12) is after the PO delivery date (2025-07-18).,n,,n,,n,,y,Expected invoice amount (46343.16) does not match invoice amount (5285.67).,y,Total received quantity (95) is less than ordered quantity (174).
PO1102,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1103,y,ASN shipped quantity (171) does not match GRN received quantity (111).,y,Earliest received date (2025-08-07) is after the PO delivery date (2025-06-08).,n,,n,,n,,y,Expected invoice amount (57515.77) does not match invoice amount (1105.73).,y,Total received quantity (111) is less than ordered quantity (169).
PO1104,y,ASN shipped quantity (242) does not match GRN received quantity (274).,y,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-23).,n,,n,,y,Total received quantity (274) exceeds ordered quantity (189).,y,Expected invoice amount (23186.52) does not match invoice amount (7293.83).,n,
PO1105,y,ASN shipped quantity (132) does not match GRN received quantity (186).,y,Earliest received date (2025-08-14) is after the PO delivery date (2025-08-03).,n,,n,,y,Total received quantity (186) exceeds ordered quantity (159).,y,Expected invoice amount (46939.98) does not match invoice amount (1262.72).,n,
PO1106,y,ASN shipped quantity (155) does not match GRN received quantity (101).,y,Earliest received date (2025-08-05) is after the PO delivery date (2025-07-23).,n,,n,,y,Total received quantity (101) exceeds ordered quantity (99).,y,Expected invoice amount (18051.66) does not match invoice amount (2843.51).,n,
PO1107,y,ASN shipped quantity (87) does not match GRN received quantity (74).,y,Earliest received date (2025-08-14) is after the PO delivery date (2025-07-07).,n,,n,,y,Total received quantity (74) exceeds ordered quantity (67).,y,Expected invoice amount (15515.86) does not match invoice amount (5954.16).,n,
PO1108,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1109,y,ASN shipped quantity (284) does not match GRN received quantity (361).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-06-17).,n,,n,,y,Total received quantity (361) exceeds ordered quantity (142).,y,Expected invoice amount (25859.62) does not match invoice amount (1079.55).,n,
PO1110,y,ASN shipped quantity (92) does not match GRN received quantity (205).,y,Earliest received date (2025-08-15) is after the PO delivery date (2025-07-08).,n,,n,,y,Total received quantity (205) exceeds ordered quantity (178).,y,Expected invoice amount (74991.40) does not match invoice amount (8117.26).,n,
PO1111,y,ASN shipped quantity (89) does not match GRN received quantity (62).,y,Earliest received date (2025-08-09) is after the PO delivery date (2025-08-05).,n,,n,,n,,y,Expected invoice amount (36017.41) does not match invoice amount (9542.15).,y,Total received quantity (62) is less than ordered quantity (89).
PO1112,y,ASN shipped quantity (174) does not match GRN received quantity (297).,y,Earliest received date (2025-08-06) is after the PO delivery date (2025-07-03).,n,,n,,y,Total received quantity (297) exceeds ordered quantity (194).,y,Expected invoice amount (22032.58) does not match invoice amount (7283.74).,n,
PO1113,y,ASN shipped quantity (155) does not match GRN received quantity (212).,y,Earliest received date (2025-08-06) is after the PO delivery date (2025-07-13).,n,,n,,y,Total received quantity (212) exceeds ordered quantity (184).,y,Expected invoice amount (77206.40) does not match invoice amount (7659.41).,n,
PO1114,y,ASN shipped quantity (238) does not match GRN received quantity (213).,y,Earliest received date (2025-08-07) is after the PO delivery date (2025-05-31).,n,,n,,y,Total received quantity (213) exceeds ordered quantity (173).,y,Expected invoice amount (15057.92) does not match invoice amount (3250.62).,n,
PO1115,y,ASN shipped quantity (221) does not match GRN received quantity (167).,y,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-29).,n,,n,,y,Total received quantity (167) exceeds ordered quantity (86).,y,Expected invoice amount (7175.84) does not match invoice amount (9845.92).,n,
PO1116,y,ASN shipped quantity (43) does not match GRN received quantity (54).,y,Earliest received date (2025-08-06) is after the PO delivery date (2025-08-01).,n,,n,,n,,y,Expected invoice amount (10105.81) does not match invoice amount (7845.22).,y,Total received quantity (54) is less than ordered quantity (191).
PO1117,y,ASN shipped quantity (125) does not match GRN received quantity (66).,y,Earliest received date (2025-08-09) is after the PO delivery date (2025-07-31).,n,,n,,n,,y,Expected invoice amount (73378.80) does not match invoice amount (4272.30).,y,Total received quantity (66) is less than ordered quantity (165).
PO1118,y,ASN shipped quantity (132) does not match GRN received quantity (93).,n,,n,,n,,y,Total received quantity (93) exceeds ordered quantity (52).,y,Expected invoice amount (6906.12) does not match invoice amount (9585.82).,n,
PO1119,y,ASN shipped quantity (432) does not match GRN received quantity (417).,y,Earliest received date (2025-08-06) is after the PO delivery date (2025-07-03).,n,,n,,y,Total received quantity (417) exceeds ordered quantity (158).,y,Expected invoice amount (53694.72) does not match invoice amount (4198.61).,n,
PO1120,y,ASN shipped quantity (127) does not match GRN received quantity (39).,y,Earliest received date (2025-07-29) is after the PO delivery date (2025-07-18).,n,,n,,n,,y,Expected invoice amount (13162.50) does not match invoice amount (3922.56).,y,Total received quantity (39) is less than ordered quantity (162).
PO1121,y,ASN shipped quantity (161) does not match GRN received quantity (306).,n,,n,,n,,y,Total received quantity (306) exceeds ordered quantity (183).,y,Expected invoice amount (21606.81) does not match invoice amount (5525.27).,n,
PO1122,y,ASN shipped quantity (196) does not match GRN received quantity (193).,y,Earliest received date (2025-08-03) is after the PO delivery date (2025-07-31).,n,,n,,y,Total received quantity (193) exceeds ordered quantity (68).,y,Expected invoice amount (6054.72) does not match invoice amount (3652.50).,n,
PO1123,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1124,y,ASN shipped quantity (178) does not match GRN received quantity (319).,y,Earliest received date (2025-08-11) is after the PO delivery date (2025-06-26).,n,,n,,y,Total received quantity (319) exceeds ordered quantity (158).,y,Expected invoice amount (23257.60) does not match invoice amount (2989.87).,n,
PO1125,y,ASN shipped quantity (259) does not match GRN received quantity (283).,y,Earliest received date (2025-08-06) is after the PO delivery date (2025-06-19).,n,,n,,y,Total received quantity (283) exceeds ordered quantity (159).,y,Expected invoice amount (53032.86) does not match invoice amount (5108.00).,n,
PO1126,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1127,y,ASN shipped quantity (308) does not match GRN received quantity (246).,n,,n,,n,,y,Total received quantity (246) exceeds ordered quantity (51).,y,Expected invoice amount (11989.08) does not match invoice amount (7751.11).,n,
